filename,full_path,source_type,competition,season,rows,columns,row_groups,size_mb,modified_utc,sha256,status,error
sofascore_match_shots__Netherlands_Eredivisie__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_shots__Netherlands_Eredivisie__2024_2025.parquet,sofascore_match_shots,Netherlands Eredivisie,2024-2025,8480,17,1,0.201,2026-07-30T22:04:19.016332150+00:00,77899e76948d7180783335cd192ea46dee4f95635dd61a114e85ace965888d54,ok,
sofascore_match_shots__Netherlands_Eredivisie__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_shots__Netherlands_Eredivisie__2025_2026.parquet,sofascore_match_shots,Netherlands Eredivisie,2025-2026,9107,17,1,0.212,2026-07-30T21:19:12.730640411+00:00,f6f3261c785a6d41e127c0c1626ca48ca02e17590a0a445cdc1651311a21b6df,ok,
sofascore_match_shots__Portugal_Primeira_Liga__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_shots__Portugal_Primeira_Liga__2023_2024.parquet,sofascore_match_shots,Portugal Primeira Liga,2023-2024,7883,17,1,0.177,2026-07-31T01:01:47.157550573+00:00,cd29dafd05641bec5b71c17cb2d9c012ec863599af3ef9a45076c114669504b2,ok,
sofascore_match_shots__Portugal_Primeira_Liga__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_shots__Portugal_Primeira_Liga__2024_2025.parquet,sofascore_match_shots,Portugal Primeira Liga,2024-2025,7419,17,1,0.177,2026-07-31T00:17:57.280749321+00:00,476c4f5c8bb9a9d174b6bd5495c947b0a8c3ab587e5eb695f506888f92b8ea4f,ok,
sofascore_match_shots__Portugal_Primeira_Liga__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_shots__Portugal_Primeira_Liga__2025_2026.parquet,sofascore_match_shots,Portugal Primeira Liga,2025-2026,7471,17,1,0.178,2026-07-30T23:33:19.234291792+00:00,12c6361e45723f03dc9f1d3dbe4369b4eb626c0a09f59495c1939d72377c89a6,ok,
sofascore_match_shots__Spain_La_Liga__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_shots__Spain_La_Liga__2023_2024.parquet,sofascore_match_shots,Spain La Liga,2023-2024,9332,17,1,0.204,2026-07-30T13:24:12.659429312+00:00,cbb911ebc92afa408dc8bde69cdd071052bb22e9a8b4f196bf8ed70d4000d25f,ok,
sofascore_match_shots__Spain_La_Liga__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_shots__Spain_La_Liga__2024_2025.parquet,sofascore_match_shots,Spain La Liga,2024-2025,9063,17,1,0.212,2026-07-30T12:23:01.390110493+00:00,4a9a76093511cdf1894f14de3b34c5d3b60cb295368218682c81f6aa67ba9199,ok,
sofascore_match_shots__Spain_La_Liga__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_shots__Spain_La_Liga__2025_2026.parquet,sofascore_match_shots,Spain La Liga,2025-2026,9510,17,1,0.222,2026-07-28T08:36:05.406584024+00:00,c448e52672e3141b340948fb12c60b843f5857b9a5be0709ffb0fb07398a3e90,ok,
sofascore_match_shots__UEFA_Champions_League__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_shots__UEFA_Champions_League__2023_2024.parquet,sofascore_match_shots,UEFA Champions League,2023-2024,4811,17,1,0.116,2026-07-31T06:03:45.969348669+00:00,e2d53cbfb23b16aa06daf2a8380da56e6ead74dfc984acd55c395ebe135f731c,ok,
sofascore_match_shots__UEFA_Champions_League__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_shots__UEFA_Champions_League__2024_2025.parquet,sofascore_match_shots,UEFA Champions League,2024-2025,5740,17,1,0.149,2026-07-31T04:52:38.093510151+00:00,292246d2d7d23f36d04e9cf87438fd8e34a34668dcde067c29e9df348932d75b,ok,
