Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,position_tokens,is_goalkeeper,is_defender,is_midfielder,is_forward,is_pure_midfielder,is_mixed_midfielder,Min_numeric,Age_numeric,TklW_per90,Int_per90,Fls_per90,Fld_per90,CrdY_per90,CrdR_per90,Crs_per90,Off_per90,meets_preferred_minutes
2217,Declan Rice,eng ENG,MF,Arsenal,eng Premier League,26.0,1999.0,36,35,3094,34.4,4,5,9,4,0,0,3,0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,2217,eng ENG,MF,eng Premier League,26.0,1999.0,34.4,4,40,13,32.5,1.16,0.38,0.1,0.31,0,0,2754,eng ENG,MF,eng Premier League,26.0,1999.0,36,3094,86,90.5,34.4,35,88.0,29,1,23.0,1,2.19,62,25,37,1.08,-0.86,2217,eng ENG,MF,eng Premier League,26.0,1999.0,34.4,3,0,0,26,11,1,177,33,33,0,MF,False,False,True,False,True,False,3094,26.0,0.9593023255813954,0.9593023255813954,0.7558139534883721,0.31976744186046513,0.0872093023255814,0.0,5.145348837209302,0.029069767441860465,True
923,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,24.0,2001.0,36,35,3081,34.2,1,0,1,1,0,0,5,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,923,dk DEN,MF,it Serie A,24.0,2001.0,34.2,1,8,3,37.5,0.23,0.09,0.13,0.33,0,0,1143,dk DEN,MF,it Serie A,24.0,2001.0,36,3081,86,90.1,34.2,35,87.0,26,1,28.0,0,0.97,36,45,-9,-0.26,0.0,923,dk DEN,MF,it Serie A,24.0,2001.0,34.2,5,0,0,41,39,0,5,41,71,0,MF,False,False,True,False,True,False,3081,24.0,2.0760233918128654,1.198830409356725,1.198830409356725,1.1403508771929824,0.14619883040935672,0.0,0.14619883040935672,0.0,True
802,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28.0,1996.0,34,34,3060,34.0,3,1,4,3,0,0,4,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,802,de GER,MF,de Bundesliga,28.0,1996.0,34.0,3,44,13,29.5,1.29,0.38,0.07,0.23,0,0,986,de GER,MF,de Bundesliga,28.0,1996.0,34,3060,90,100.0,34.0,34,90.0,34,0,,0,1.38,51,57,-6,-0.18,,802,de GER,MF,de Bundesliga,28.0,1996.0,34.0,4,0,0,18,20,1,14,31,34,0,MF,False,False,True,False,True,False,3060,28.0,1.0,0.9117647058823529,0.5294117647058824,0.5882352941176471,0.11764705882352941,0.0,0.4117647058823529,0.029411764705882353,True
2353,Kaishu Sano,jp JPN,MF,Mainz 05,de Bundesliga,24.0,2000.0,34,34,3059,34.0,1,2,3,1,0,0,1,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,2353,jp JPN,MF,de Bundesliga,24.0,2000.0,34.0,1,24,6,25.0,0.71,0.18,0.04,0.17,0,0,2926,jp JPN,MF,de Bundesliga,24.0,2000.0,34,3059,90,100.0,34.0,34,90.0,33,0,,0,1.18,44,53,-9,-0.26,-0.26,2353,jp JPN,MF,de Bundesliga,24.0,2000.0,34.0,1,0,0,14,29,4,18,67,31,0,MF,False,False,True,False,True,False,3059,24.0,0.9117647058823529,1.9705882352941178,0.4117647058823529,0.8529411764705882,0.029411764705882353,0.0,0.5294117647058824,0.11764705882352941,True
1879,Michel Ndary Adopo,fr FRA,MF,Cagliari,it Serie A,25.0,2000.0,38,33,3050,33.9,1,2,3,1,0,0,4,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,1879,fr FRA,MF,it Serie A,25.0,2000.0,33.9,1,28,11,39.3,0.83,0.32,0.04,0.09,0,0,2327,fr FRA,MF,it Serie A,25.0,2000.0,38,3050,80,89.2,33.9,33,85.0,22,5,49.0,0,1.13,35,46,-11,-0.32,0.16,1879,fr FRA,MF,it Serie A,25.0,2000.0,33.9,4,0,0,35,25,5,26,31,32,0,MF,False,False,True,False,True,False,3050,25.0,0.943952802359882,0.9144542772861357,1.032448377581121,0.7374631268436579,0.11799410029498525,0.0,0.7669616519174042,0.14749262536873156,True
1792,Jon Moncayola,es ESP,MF,Osasuna,es La Liga,27.0,1998.0,36,35,3016,33.5,0,4,4,0,0,0,9,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,1792,es ESP,MF,es La Liga,27.0,1998.0,33.5,0,23,5,21.7,0.69,0.15,0.0,0.0,0,0,2216,es ESP,MF,es La Liga,27.0,1998.0,36,3016,84,88.2,33.5,35,85.0,21,1,25.0,0,1.0,34,45,-11,-0.33,-1.44,1792,es ESP,MF,es La Liga,27.0,1998.0,33.5,9,0,0,41,13,0,142,27,26,0,MF,False,False,True,False,True,False,3016,27.0,0.7761194029850746,0.8059701492537313,1.2238805970149254,0.3880597014925373,0.26865671641791045,0.0,4.2388059701492535,0.0,True
874,Mateus Fernandes,pt POR,MF,West Ham United,eng Premier League,21.0,2004.0,36,35,3016,33.5,3,4,7,3,0,0,7,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,874,pt POR,MF,eng Premier League,21.0,2004.0,33.5,3,28,8,28.6,0.84,0.24,0.11,0.38,0,0,1076,pt POR,MF,eng Premier League,21.0,2004.0,36,3016,84,88.2,33.5,35,85.0,23,1,26.0,0,1.08,40,50,-10,-0.3,1.71,874,pt POR,MF,eng Premier League,21.0,2004.0,33.5,7,0,0,49,49,0,51,36,67,0,MF,False,False,True,False,True,False,3016,21.0,2.0,1.0746268656716418,1.462686567164179,1.462686567164179,0.208955223880597,0.0,1.5223880597014925,0.0,True
1517,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,27.0,1998.0,36,36,2994,33.3,1,2,3,1,0,1,9,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,1517,it ITA,MF,it Serie A,27.0,1998.0,33.3,1,46,12,26.1,1.38,0.36,0.02,0.08,0,1,1878,it ITA,MF,it Serie A,27.0,1998.0,36,2994,83,87.5,33.3,36,83.0,24,0,,1,1.86,49,28,21,0.63,-0.64,1517,it ITA,MF,it Serie A,27.0,1998.0,33.3,9,0,0,55,44,0,19,38,66,0,MF,False,False,True,False,True,False,2994,27.0,1.9819819819819822,1.1411411411411412,1.6516516516516517,1.3213213213213215,0.2702702702702703,0.0,0.5705705705705706,0.0,True
2835,Martín Zubimendi,es ESP,MF,Arsenal,eng Premier League,26.0,1999.0,38,34,2992,33.2,5,1,6,5,0,0,4,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,2835,es ESP,MF,eng Premier League,26.0,1999.0,33.2,5,27,9,33.3,0.81,0.27,0.19,0.56,0,0,3534,es ESP,MF,eng Premier League,26.0,1999.0,38,2992,79,87.5,33.2,34,84.0,22,4,32.0,0,2.24,57,25,32,0.96,-1.56,2835,es ESP,MF,eng Premier League,26.0,1999.0,33.2,4,0,0,33,15,1,13,39,39,0,MF,False,False,True,False,True,False,2992,26.0,1.1746987951807228,1.1746987951807228,0.9939759036144578,0.4518072289156626,0.12048192771084336,0.0,0.39156626506024095,0.03012048192771084,True
1049,Ryan Gravenberch,nl NED,MF,Liverpool,eng Premier League,23.0,2002.0,36,34,2992,33.2,5,3,8,5,0,0,5,0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,1049,nl NED,MF,eng Premier League,23.0,2002.0,33.2,5,38,13,34.2,1.14,0.39,0.13,0.38,0,0,1302,nl NED,MF,eng Premier League,23.0,2002.0,36,2992,83,87.5,33.2,34,86.0,28,2,29.0,0,1.58,50,42,8,0.24,-0.18,1049,nl NED,MF,eng Premier League,23.0,2002.0,33.2,5,0,0,38,42,0,8,44,35,0,MF,False,False,True,False,True,False,2992,23.0,1.0542168674698795,1.325301204819277,1.1445783132530118,1.2650602409638554,0.1506024096385542,0.0,0.24096385542168672,0.0,True
