source,base_player,base_team,candidate_player,candidate_team,competition,season,name_score,team_exact,adjusted_score
transfermarkt,Leonard Duru,Blackburn Rovers,Leo Duru,Without Club,England EFL Championship,2024-2025,85.5,False,85.5
transfermarkt,William Mannion,Charlton Athletic,Will Mannion,Charlton,England EFL Championship,2025-2026,88.88888888888889,False,88.88888888888889
transfermarkt,Nathaniel Phillips,West Bromwich Albion,Nat Phillips,West Brom,England EFL Championship,2025-2026,85.5,False,85.5
transfermarkt,Abdul Fatawu Issahaku,Leicester City,Abdul Fatawu,Ipswich,England EFL Championship,2025-2026,90.0,False,90.0
transfermarkt,Robert Apter,Charlton Athletic,Rob Apter,Charlton,England EFL Championship,2025-2026,85.71428571428572,False,85.71428571428572
transfermarkt,Samuel Parker,Swansea City,Sam Parker,Wycombe,England EFL Championship,2025-2026,86.95652173913044,False,86.95652173913044
transfermarkt,Myles Peart-Harris,Oxford United,Mark Harris,Oxford United,England EFL Championship,2025-2026,85.5,True,90.5
transfermarkt,Leo Fuhr Hjelde,Sheffield United,Leo Hjelde,Sunderland,England EFL Championship,2025-2026,85.5,False,85.5
transfermarkt,Solomon Brynn,Middlesbrough,Sol Brynn,Middlesbrough,England EFL Championship,2025-2026,81.81818181818181,True,86.81818181818181
transfermarkt,John Lundstram,Hull City,John Egan,Hull City,England EFL Championship,2025-2026,85.5,True,90.5
transfermarkt,Benjamin Nelson,Leicester City,Ben Nelson,Leicester,England EFL Championship,2025-2026,85.5,False,85.5
transfermarkt,Aune Selland Heggebø,West Bromwich Albion,Aune Heggebø,West Brom,England EFL Championship,2025-2026,85.5,False,85.5
transfermarkt,Thomas Cannon,Sheffield United,Tom Cannon,Sheff Utd,England EFL Championship,2025-2026,86.95652173913044,False,86.95652173913044
transfermarkt,Eric Bocat,Stoke City,Eric-Junior Bocat,Stoke City,England EFL Championship,2025-2026,85.5,True,90.5
transfermarkt,Matthew Litherland,Blackburn Rovers,Matty Litherland,Blackburn U21,England EFL Championship,2025-2026,88.23529411764706,False,88.23529411764706
transfermarkt,Oliver Bostock,West Bromwich Albion,Ollie Bostock,West Brom,England EFL Championship,2025-2026,88.88888888888889,False,88.88888888888889
transfermarkt,Isak Alemayehu Mulugeta,Queens Park Rangers,Isak Alemayehu,QPR U21,England EFL Championship,2025-2026,90.0,False,90.0
transfermarkt,Jack James Walton,Preston North End,Jack Taylor,Ipswich,England EFL Championship,2025-2026,85.5,False,85.5
transfermarkt,Trent Alexander-Arnold,Liverpool FC,Alexander Isak,Liverpool,England Premier League,2023-2024,85.5,True,90.5
transfermarkt,Kostas Tsimikas,Liverpool FC,Konstantinos Tsimikas,Liverpool,England Premier League,2023-2024,83.33333333333334,True,88.33333333333334
transfermarkt,Ederson,Manchester City,Elliot Anderson,Manchester City,England Premier League,2023-2024,83.07692307692308,True,88.07692307692308
transfermarkt,Max Kilman,Wolverhampton,Maximilian Kilman,West Ham,England Premier League,2023-2024,85.5,False,85.5
transfermarkt,Danilo Santos,Nottingham Forest,Danilo,Botafogo,England Premier League,2023-2024,90.0,False,90.0
transfermarkt,Toti Gomes,Wolverhampton,Toti,Wolverhampton Wanderers,England Premier League,2023-2024,90.0,False,90.0
transfermarkt,Yehor Yarmoliuk,Brentford,Yegor Yarmolyuk,Brentford,England Premier League,2023-2024,86.66666666666667,True,91.66666666666667
transfermarkt,Trent Alexander-Arnold,Liverpool FC,Alexander Isak,Liverpool,England Premier League,2024-2025,85.5,True,90.5
transfermarkt,Abdul Fatawu Issahaku,Leicester City,Abdul Fatawu,Ipswich,England Premier League,2024-2025,90.0,False,90.0
transfermarkt,Marc Cucurella,Chelsea,Marc Guiu,Chelsea,England Premier League,2024-2025,85.5,True,90.5
transfermarkt,Ederson,Manchester City,Elliot Anderson,Manchester City,England Premier League,2024-2025,83.07692307692308,True,88.07692307692308
transfermarkt,Kostas Tsimikas,Liverpool FC,Konstantinos Tsimikas,Liverpool,England Premier League,2024-2025,83.33333333333334,True,88.33333333333334
transfermarkt,Max Kilman,West Ham United,Maximilian Kilman,West Ham,England Premier League,2024-2025,85.5,False,85.5
transfermarkt,Toti Gomes,Wolverhampton,Toti,Wolverhampton Wanderers,England Premier League,2024-2025,90.0,False,90.0
transfermarkt,Yehor Yarmoliuk,Brentford,Yegor Yarmolyuk,Brentford,England Premier League,2024-2025,86.66666666666667,True,91.66666666666667
transfermarkt,Charlie Taylor,Southampton,Taylor Harwood-Bellis,Southampton,England Premier League,2024-2025,85.5,True,90.5
transfermarkt,Danilo Santos,Nottingham Forest,Danilo,Botafogo,England Premier League,2024-2025,90.0,False,90.0
transfermarkt,William Alves,Leicester City,Will Alves,Leicester,England Premier League,2024-2025,86.95652173913044,False,86.95652173913044
transfermarkt,Đorđe Petrović,Bournemouth,Djordje Petrovic,Bournemouth,England Premier League,2025-2026,82.75862068965517,True,87.75862068965517
transfermarkt,Yehor Yarmoliuk,Brentford,Yegor Yarmolyuk,Brentford,England Premier League,2025-2026,86.66666666666667,True,91.66666666666667
transfermarkt,Marc Cucurella,Chelsea,Marc Guiu,Chelsea,England Premier League,2025-2026,85.5,True,90.5
transfermarkt,Jair,Nottingham Forest,Jair Cunha,Nott'm Forest,England Premier League,2025-2026,90.0,False,90.0
transfermarkt,Max Kilman,West Ham United,Maximilian Kilman,West Ham,England Premier League,2025-2026,85.5,False,85.5
transfermarkt,Toti Gomes,Wolverhampton,Toti,Wolverhampton Wanderers,England Premier League,2025-2026,90.0,False,90.0
transfermarkt,Pablo Felipe,West Ham United,Pablo,West Ham,England Premier League,2025-2026,90.0,False,90.0
transfermarkt,Sadibou Sané,Metz,Ibou Sané,FC Metz,France Ligue 1,2023-2024,85.71428571428572,True,90.71428571428572
transfermarkt,Henrique,Olympique Lyonnais,Luis Henrique,Inter Milan,France Ligue 1,2023-2024,90.0,False,90.0
transfermarkt,Joel Mugisha Mvuka,Lorient,Joel Mvuka,FC Lorient,France Ligue 1,2023-2024,85.5,True,90.5
transfermarkt,Hamed Junior Traorè,Auxerre,Hamed Traoré,Genoa,France Ligue 1,2024-2025,85.5,False,85.5
transfermarkt,Abner Vinícius,Olympique Lyonnais,Abner,Lyon,France Ligue 1,2024-2025,90.0,False,90.0
transfermarkt,Jordan Siebatcheu,Stade de Reims,Jordan,Stade Reims,France Ligue 1,2024-2025,90.0,False,90.0
transfermarkt,Ahmadou Bamba Dieng,Angers,Bamba Dieng,Without Club,France Ligue 1,2024-2025,90.0,False,90.0
transfermarkt,Benjamin Old,Saint-Étienne,Ben Old,Saint-Étienne,France Ligue 1,2024-2025,85.5,True,90.5
transfermarkt,Ange Tia,Stade de Reims,Ange Loïc N'Gatta,Grenoble,France Ligue 1,2024-2025,85.5,False,85.5
transfermarkt,Niama Pape Sissoko,Stade de Reims,Pape Sissoko,SV Ried,France Ligue 1,2024-2025,90.0,False,90.0
transfermarkt,Ikechukwu Orazi,Stade de Reims,Ike Orazi,Stade Reims,France Ligue 1,2024-2025,85.5,False,85.5
transfermarkt,Sadibou Sané,Metz,Ibou Sané,FC Metz,France Ligue 1,2025-2026,85.71428571428572,True,90.71428571428572
transfermarkt,Abner Vinícius,Olympique Lyonnais,Abner,Lyon,France Ligue 1,2025-2026,90.0,False,90.0
transfermarkt,Hamed Junior Traorè,Olympique de Marseille,Hamed Traoré,Genoa,France Ligue 1,2025-2026,85.5,False,85.5
transfermarkt,Stanis Idumbo Muzambo,AS Monaco,Stanis Idumbo,Monaco,France Ligue 1,2025-2026,90.0,False,90.0
transfermarkt,Conrad Jaden Egan-Riley,Olympique de Marseille,Matt O'Riley,Brighton,France Ligue 1,2025-2026,85.5,False,85.5
transfermarkt,Joel Mugisha Mvuka,Lorient,Joel Mvuka,FC Lorient,France Ligue 1,2025-2026,85.5,True,90.5
transfermarkt,Ugo Lamare El Kadmiri,Olympique de Marseille,Ugo Kadmiri,Marseille B,France Ligue 1,2025-2026,85.5,False,85.5
